# Teff (K)	Age (Gyr)	Radius (m)	Luminosity (W)
5.25091556e+03	8.70000000e+00	6.25540339e+06	2.11974728e+22
5.23989507e+03	8.75000000e+00	6.25497673e+06	2.10172469e+22
5.22866104e+03	8.80000000e+00	6.25455142e+06	2.08347581e+22
5.21723041e+03	8.85000000e+00	6.25412833e+06	2.06503395e+22
5.20562012e+03	8.90000000e+00	6.25370832e+06	2.04643241e+22
5.19384094e+03	8.95000000e+00	6.25329210e+06	2.02769509e+22
5.18185557e+03	9.00000000e+00	6.25287925e+06	2.00877254e+22
5.16960415e+03	9.05000000e+00	6.25246882e+06	1.98958095e+22
5.15702669e+03	9.10000000e+00	6.25205986e+06	1.97003630e+22
5.14406319e+03	9.15000000e+00	6.25165142e+06	1.95005456e+22
5.13066792e+03	9.20000000e+00	6.25124292e+06	1.92957482e+22
5.11684480e+03	9.25000000e+00	6.25083514e+06	1.90861683e+22
5.10260860e+03	9.30000000e+00	6.25042912e+06	1.88721794e+22
5.08797408e+03	9.35000000e+00	6.25002592e+06	1.86541548e+22
5.07295332e+03	9.40000000e+00	6.24962650e+06	1.84324300e+22
5.05752064e+03	9.45000000e+00	6.24923016e+06	1.82068049e+22
5.04162248e+03	9.50000000e+00	6.24883506e+06	1.79766845e+22
5.02520461e+03	9.55000000e+00	6.24843928e+06	1.77414642e+22
5.00821503e+03	9.60000000e+00	6.24804105e+06	1.75005728e+22
4.99064753e+03	9.65000000e+00	6.24764095e+06	1.72541227e+22
4.97253896e+03	9.70000000e+00	6.24724178e+06	1.70028691e+22
4.95392782e+03	9.75000000e+00	6.24684643e+06	1.67475918e+22
4.93485163e+03	9.80000000e+00	6.24645757e+06	1.64890519e+22
4.91533658e+03	9.85000000e+00	6.24607556e+06	1.62277914e+22
4.89540169e+03	9.90000000e+00	6.24569927e+06	1.59642133e+22
4.87506585e+03	9.95000000e+00	6.24532754e+06	1.56987183e+22
4.85434222e+03	1.00000000e+01	6.24495878e+06	1.54316365e+22
4.83322729e+03	1.00500000e+01	6.24459003e+06	1.51630932e+22
4.81171456e+03	1.01000000e+01	6.24421813e+06	1.48931762e+22
4.78980456e+03	1.01500000e+01	6.24384044e+06	1.46220527e+22
4.76755622e+03	1.02000000e+01	6.24345906e+06	1.43505462e+22
4.74505734e+03	1.02500000e+01	6.24307837e+06	1.40798041e+22
4.72237880e+03	1.03000000e+01	6.24270260e+06	1.38107833e+22
4.69937586e+03	1.03500000e+01	6.24233361e+06	1.35420097e+22
4.67575611e+03	1.04000000e+01	6.24197164e+06	1.32703445e+22
4.65124923e+03	1.04500000e+01	6.24161701e+06	1.29929176e+22
4.62581518e+03	1.05000000e+01	6.24127102e+06	1.27096364e+22
4.59953833e+03	1.05500000e+01	6.24093550e+06	1.24219095e+22
4.57247697e+03	1.06000000e+01	6.24061160e+06	1.21308513e+22
4.54457143e+03	1.06500000e+01	6.24029753e+06	1.18362434e+22
4.51573145e+03	1.07000000e+01	6.23999066e+06	1.15375227e+22
4.48590676e+03	1.07500000e+01	6.23968733e+06	1.12346207e+22
4.45509428e+03	1.08000000e+01	6.23938266e+06	1.09280521e+22
4.42331629e+03	1.08500000e+01	6.23907353e+06	1.06185548e+22
4.39067554e+03	1.09000000e+01	6.23876326e+06	1.03075392e+22
4.35727788e+03	1.09500000e+01	6.23845612e+06	9.99643447e+21
4.32310789e+03	1.10000000e+01	6.23815252e+06	9.68559368e+21
4.28812211e+03	1.10500000e+01	6.23785114e+06	9.37508869e+21
4.25275582e+03	1.11000000e+01	6.23755396e+06	9.06874920e+21
4.21776025e+03	1.11500000e+01	6.23726500e+06	8.77286683e+21
4.18278869e+03	1.12000000e+01	6.23697953e+06	8.48474299e+21
4.14653999e+03	1.12500000e+01	6.23668533e+06	8.19387242e+21
4.10889800e+03	1.13000000e+01	6.23638282e+06	7.89955686e+21
4.07071796e+03	1.13500000e+01	6.23608278e+06	7.60915134e+21
4.03196414e+03	1.14000000e+01	6.23578803e+06	7.32286407e+21
3.99200592e+03	1.14500000e+01	6.23549575e+06	7.03621270e+21
3.95046500e+03	1.15000000e+01	6.23520370e+06	6.74724618e+21
3.90710667e+03	1.15500000e+01	6.23491338e+06	6.45528385e+21
3.86178125e+03	1.16000000e+01	6.23463344e+06	6.16026234e+21
3.81400647e+03	1.16500000e+01	6.23436579e+06	5.86062153e+21
3.76387831e+03	1.17000000e+01	6.23410886e+06	5.55821396e+21
3.71400762e+03	1.17500000e+01	6.23386836e+06	5.26866029e+21
3.66270450e+03	1.18000000e+01	6.23363398e+06	4.98342219e+21
3.60668078e+03	1.18500000e+01	6.23339330e+06	4.68513016e+21
3.54874084e+03	1.19000000e+01	6.23316481e+06	4.39078564e+21
3.48992716e+03	1.19500000e+01	6.23294886e+06	4.10658230e+21
3.42911807e+03	1.20000000e+01	6.23273487e+06	3.82752302e+21
3.36603603e+03	1.20500000e+01	6.23252576e+06	3.55350832e+21
3.30550809e+03	1.21000000e+01	6.23234602e+06	3.30405632e+21
3.24301487e+03	1.21500000e+01	6.23216661e+06	3.06154858e+21
3.17517388e+03	1.22000000e+01	6.23194820e+06	2.81284723e+21
3.10722242e+03	1.22500000e+01	6.23170027e+06	2.57936434e+21
3.03764486e+03	1.23000000e+01	6.23147083e+06	2.35622289e+21
2.97281271e+03	1.23500000e+01	6.23130483e+06	2.16060334e+21
2.90754234e+03	1.24000000e+01	6.23116609e+06	1.97770726e+21
2.83792420e+03	1.24500000e+01	6.23101653e+06	1.79452396e+21
2.77588431e+03	1.25000000e+01	6.23089600e+06	1.64240340e+21
2.70818335e+03	1.25500000e+01	6.23077282e+06	1.48853132e+21
2.64349574e+03	1.26000000e+01	6.23065327e+06	1.35055783e+21
2.58410801e+03	1.26500000e+01	6.23054387e+06	1.23366916e+21
2.52437684e+03	1.27000000e+01	6.23044183e+06	1.12326835e+21
2.47174023e+03	1.27500000e+01	6.23035760e+06	1.03232927e+21
2.41834760e+03	1.28000000e+01	6.23026180e+06	9.46219152e+20
2.36539796e+03	1.28500000e+01	6.23016230e+06	8.65819957e+20
2.31822876e+03	1.29000000e+01	6.23008220e+06	7.98812884e+20
2.27589402e+03	1.29500000e+01	6.23001944e+06	7.41966769e+20
2.23249935e+03	1.30000000e+01	6.22994023e+06	6.87071978e+20
2.18548594e+03	1.30500000e+01	6.22982626e+06	6.30940510e+20
2.13651231e+03	1.31000000e+01	6.22968639e+06	5.76162882e+20
2.08371770e+03	1.31500000e+01	6.22954058e+06	5.21361116e+20
2.02734293e+03	1.32000000e+01	6.22940557e+06	4.67103923e+20
1.96823310e+03	1.32500000e+01	6.22928043e+06	4.14988236e+20
1.90441902e+03	1.33000000e+01	6.22916603e+06	3.63677285e+20
1.83896026e+03	1.33500000e+01	6.22907939e+06	3.16236255e+20
1.76634099e+03	1.34000000e+01	6.22897994e+06	2.69110106e+20
1.68881374e+03	1.34500000e+01	6.22888791e+06	2.24894600e+20
1.60669270e+03	1.35000000e+01	6.22877580e+06	1.84233933e+20
1.51871229e+03	1.35500000e+01	6.22868554e+06	1.47066800e+20
